spot_name,href,full_url,spot_type,lat,lng,county,id
North Jetty at Eureka,/breaks/North-Jettyat-Eureka,https://www.surf-forecast.com/breaks/North-Jettyat-Eureka,Beach/jetty,40.7686,-124.235,Humboldt County,5842041f4e65fad6a77089bc
Gold Bluffs Beach,/breaks/Gold-Bluffs-Beach,https://www.surf-forecast.com/breaks/Gold-Bluffs-Beach,Beach,41.4074,-124.0656,Humboldt County,640a3fb0b6d76903b8513a73
Santa Monica Ocean Park,/breaks/Ocean-Park-Santa-Monica,https://www.surf-forecast.com/breaks/Ocean-Park-Santa-Monica,Beach,33.999,-118.487,Los Angeles County,5af21e4c8a1a07001a4531dc
Santa Monica Pier,/breaks/Santa-Monic-Pier,https://www.surf-forecast.com/breaks/Santa-Monic-Pier,Beach,34.0086,-118.5005,Los Angeles County,5842041f4e65fad6a77088f7
Santa Monica Samo 20,/breaks/Santa-Monica-Samo-20,https://www.surf-forecast.com/breaks/Santa-Monica-Samo-20,Beach,34.005,-118.492,Los Angeles County,5842041f4e65fad6a77088f7
Ballona Creek and Jetty,/breaks/Ballona-Creek-and-Jetty,https://www.surf-forecast.com/breaks/Ballona-Creek-and-Jetty,Beach/jetty,33.9564,-118.454,Los Angeles County,5842041f4e65fad6a77088ee
Sapphire Street,/breaks/Sapphire-Street,https://www.surf-forecast.com/breaks/Sapphire-Street,Beach/jetty,33.8237,-118.3932,Los Angeles County,584204214e65fad6a7709d0b
Bay Street,/breaks/Bay-Street,https://www.surf-forecast.com/breaks/Bay-Street,Beach,34.0026,-118.489,Los Angeles County,5d6562fdca83aa00012b47af
Burnout,/breaks/Burnout,https://www.surf-forecast.com/breaks/Burnout,Beach,33.816,-118.392,Los Angeles County,61c372b6277a93e7f718ba8c
Manhattan 26th street,/breaks/Manhattan-26th-street,https://www.surf-forecast.com/breaks/Manhattan-26th-street,Beach,33.884,-118.412,Los Angeles County,5842041f4e65fad6a770898a
Manhattan Beach and Pier,/breaks/Manhattan-Beach-Pier,https://www.surf-forecast.com/breaks/Manhattan-Beach-Pier,Beach,33.8923,-118.4199,Los Angeles County,5842041f4e65fad6a7708907
Topaz Street,/breaks/Topaz-Street,https://www.surf-forecast.com/breaks/Topaz-Street,Beach/jetty,33.8329,-118.3932,Los Angeles County,584204214e65fad6a7709d0b
D and W,/breaks/D-and-W,https://www.surf-forecast.com/breaks/D-and-W,Beach/jetty,33.9428,-118.445,Los Angeles County,5842041f4e65fad6a77088d7
New Jetty,/breaks/New-Jetty,https://www.surf-forecast.com/breaks/New-Jetty,Beach/jetty,33.9169,-118.4297,Los Angeles County,5842041f4e65fad6a7708e54
Torrance Beach/Burn Out,/breaks/Torrance-Beach,https://www.surf-forecast.com/breaks/Torrance-Beach,Beach,33.8116,-118.395,Los Angeles County,61c372b6277a93e7f718ba8c
Dockweiler Beach,/breaks/Dockweiler-Beach,https://www.surf-forecast.com/breaks/Dockweiler-Beach,Beach,33.93,-118.437,Los Angeles County,5842041f4e65fad6a77088ff
El Porto Beach,/breaks/El-Porto-Beach,https://www.surf-forecast.com/breaks/El-Porto-Beach,Beach,33.9075,-118.4268,Los Angeles County,5842041f4e65fad6a7708906
Venice Pier,/breaks/Venice-Pier,https://www.surf-forecast.com/breaks/Venice-Pier,Sandbar,33.978,-118.469,Los Angeles County,5accf279bd428f001ad70a34
Westward Beach/Point Dume,/breaks/Westward-Beach-Point-Dume,https://www.surf-forecast.com/breaks/Westward-Beach-Point-Dume,Beach,34.0066,-118.8171,Los Angeles County,5842041f4e65fad6a7708936
Zuma Beach,/breaks/Zuma-Beach,https://www.surf-forecast.com/breaks/Zuma-Beach,Beach,34.0257,-118.8413,Los Angeles County,5afb6566bb6fd9001a250fbb
Hermosa Beach and Pier,/breaks/Hermosa-Beach-Pier,https://www.surf-forecast.com/breaks/Hermosa-Beach-Pier,Beach,33.8619,-118.4054,Los Angeles County,5842041f4e65fad6a7708904
Santa Monica Jetties,/breaks/Santa-Monica-Jetties,https://www.surf-forecast.com/breaks/Santa-Monica-Jetties,Beach,34.0369,-118.5465,Los Angeles County,5842041f4e65fad6a77088f7
Bolinas Jetty,/breaks/Bolinas,https://www.surf-forecast.com/breaks/Bolinas,Beach/jetty,37.8987,-122.6986,Marin County,5842041f4e65fad6a77089c2
Fort Cronkite Rodeo Beach,/breaks/Fort-Cronkite-Rodeo-Beach,https://www.surf-forecast.com/breaks/Fort-Cronkite-Rodeo-Beach,Sandbar,37.831,-122.54,Marin County,5842041f4e65fad6a77089bf
Shark Pit,/breaks/Shark-Pit_1,https://www.surf-forecast.com/breaks/Shark-Pit_1,Beach,38.2402,-122.9756,Marin County,5842041f4e65fad6a77088ed
Dillon Beach,/breaks/Dillon-Beach,https://www.surf-forecast.com/breaks/Dillon-Beach,Sandbar,38.2445,-122.9726,Marin County,584204204e65fad6a770938c
